67.5457 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
68.6287 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x142e40e10>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x142b83cf8>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
68.6288 	EXP 	window1: recordFrameIntervals = False
68.7945 	EXP 	window1: recordFrameIntervals = True
68.9780 	EXP 	window1: recordFrameIntervals = False
69.4905 	EXP 	Created instScreen = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='instScreen', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
71.7297 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([960., 540.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
71.7912 	EXP 	movie: movie = '/Users/anyaji/Desktop/AMP/esEventCoding/Movie/3backPrac.mp4'
71.7912 	EXP 	movie: autoLog = True
71.7912 	EXP 	instScreen: autoDraw = True
79.2043 	DATA 	Keypress: space
79.2188 	EXP 	instScreen: autoDraw = False
79.2556 	EXP 	movie: autoDraw = True
79.2557 	EXP 	window1: recordFrameIntervals = True
79.2819 	EXP 	window1: recordFrameIntervals = True
79.3017 	EXP 	window1: recordFrameIntervals = True
79.3330 	WARNING 	t of last frame was 31.46ms (=1/31)
79.3332 	EXP 	window1: recordFrameIntervals = True
79.3549 	WARNING 	t of last frame was 21.90ms (=1/45)
79.3550 	EXP 	window1: recordFrameIntervals = True
79.3835 	WARNING 	t of last frame was 28.54ms (=1/35)
79.3836 	EXP 	window1: recordFrameIntervals = True
79.4053 	WARNING 	t of last frame was 21.89ms (=1/45)
79.4055 	EXP 	window1: recordFrameIntervals = True
79.4316 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
79.4317 	EXP 	window1: recordFrameIntervals = True
79.4527 	EXP 	window1: recordFrameIntervals = True
79.4658 	EXP 	window1: recordFrameIntervals = True
79.4807 	EXP 	window1: recordFrameIntervals = True
79.4961 	EXP 	window1: recordFrameIntervals = True
79.5142 	EXP 	window1: recordFrameIntervals = True
79.5307 	EXP 	window1: recordFrameIntervals = True
79.5472 	EXP 	window1: recordFrameIntervals = True
79.5630 	EXP 	window1: recordFrameIntervals = True
79.5803 	EXP 	window1: recordFrameIntervals = True
79.5960 	EXP 	window1: recordFrameIntervals = True
79.6145 	EXP 	window1: recordFrameIntervals = True
79.6303 	EXP 	window1: recordFrameIntervals = True
79.6471 	EXP 	window1: recordFrameIntervals = True
79.6639 	EXP 	window1: recordFrameIntervals = True
79.6796 	EXP 	window1: recordFrameIntervals = True
79.6962 	EXP 	window1: recordFrameIntervals = True
79.7119 	EXP 	window1: recordFrameIntervals = True
79.7292 	EXP 	window1: recordFrameIntervals = True
79.7462 	EXP 	window1: recordFrameIntervals = True
79.7619 	EXP 	window1: recordFrameIntervals = True
79.7803 	EXP 	window1: recordFrameIntervals = True
79.7964 	EXP 	window1: recordFrameIntervals = True
79.8144 	EXP 	window1: recordFrameIntervals = True
79.8310 	EXP 	window1: recordFrameIntervals = True
79.8476 	EXP 	window1: recordFrameIntervals = True
79.8641 	EXP 	window1: recordFrameIntervals = True
79.8808 	EXP 	window1: recordFrameIntervals = True
79.8975 	EXP 	window1: recordFrameIntervals = True
79.9125 	EXP 	window1: recordFrameIntervals = True
79.9310 	EXP 	window1: recordFrameIntervals = True
79.9472 	EXP 	window1: recordFrameIntervals = True
79.9644 	EXP 	window1: recordFrameIntervals = True
79.9806 	EXP 	window1: recordFrameIntervals = True
79.9972 	EXP 	window1: recordFrameIntervals = True
80.0132 	EXP 	window1: recordFrameIntervals = True
80.0306 	EXP 	window1: recordFrameIntervals = True
80.0459 	EXP 	window1: recordFrameIntervals = True
80.0619 	EXP 	window1: recordFrameIntervals = True
80.0801 	EXP 	window1: recordFrameIntervals = True
80.0957 	EXP 	window1: recordFrameIntervals = True
80.1139 	EXP 	window1: recordFrameIntervals = True
80.1289 	EXP 	window1: recordFrameIntervals = True
80.1459 	EXP 	window1: recordFrameIntervals = True
80.1628 	EXP 	window1: recordFrameIntervals = True
80.1791 	EXP 	window1: recordFrameIntervals = True
80.1979 	EXP 	window1: recordFrameIntervals = True
80.2141 	EXP 	window1: recordFrameIntervals = True
80.2303 	EXP 	window1: recordFrameIntervals = True
80.2461 	EXP 	window1: recordFrameIntervals = True
80.2621 	EXP 	window1: recordFrameIntervals = True
80.2784 	EXP 	window1: recordFrameIntervals = True
80.2952 	EXP 	window1: recordFrameIntervals = True
80.3138 	EXP 	window1: recordFrameIntervals = True
80.3296 	EXP 	window1: recordFrameIntervals = True
80.3468 	EXP 	window1: recordFrameIntervals = True
80.3630 	EXP 	window1: recordFrameIntervals = True
80.3809 	EXP 	window1: recordFrameIntervals = True
80.3983 	EXP 	window1: recordFrameIntervals = True
80.4145 	EXP 	window1: recordFrameIntervals = True
80.4291 	EXP 	window1: recordFrameIntervals = True
80.4473 	EXP 	window1: recordFrameIntervals = True
80.4640 	EXP 	window1: recordFrameIntervals = True
