20.8019 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
21.5152 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x143340d68>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x143084c50>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.5152 	EXP 	window1: recordFrameIntervals = False
21.7143 	EXP 	window1: recordFrameIntervals = True
21.8979 	EXP 	window1: recordFrameIntervals = False
22.2144 	EXP 	Created instScreen = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='instScreen', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
22.7057 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([1280.,  720.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
22.7604 	EXP 	movie: movie = '/Users/anyaji/Desktop/esEventCoding/Movie/3backPrac.mp4'
22.7604 	EXP 	movie: autoLog = True
22.7604 	EXP 	instScreen: autoDraw = True
23.6746 	DATA 	Keypress: space
23.7014 	EXP 	instScreen: autoDraw = False
23.7262 	EXP 	movie: autoDraw = True
23.7263 	EXP 	window1: recordFrameIntervals = True
23.7495 	EXP 	window1: recordFrameIntervals = True
23.7664 	EXP 	window1: recordFrameIntervals = True
23.7827 	EXP 	window1: recordFrameIntervals = True
23.8024 	EXP 	window1: recordFrameIntervals = True
23.8134 	EXP 	window1: recordFrameIntervals = True
23.8293 	EXP 	window1: recordFrameIntervals = True
23.8461 	EXP 	window1: recordFrameIntervals = True
23.8625 	EXP 	window1: recordFrameIntervals = True
23.8793 	EXP 	window1: recordFrameIntervals = True
23.8962 	EXP 	window1: recordFrameIntervals = True
23.9134 	EXP 	window1: recordFrameIntervals = True
23.9303 	EXP 	window1: recordFrameIntervals = True
23.9462 	EXP 	window1: recordFrameIntervals = True
23.9625 	EXP 	window1: recordFrameIntervals = True
23.9790 	EXP 	window1: recordFrameIntervals = True
23.9970 	EXP 	window1: recordFrameIntervals = True
24.0135 	EXP 	window1: recordFrameIntervals = True
24.0302 	EXP 	window1: recordFrameIntervals = True
24.0456 	EXP 	window1: recordFrameIntervals = True
24.0633 	EXP 	window1: recordFrameIntervals = True
24.0791 	EXP 	window1: recordFrameIntervals = True
24.0960 	EXP 	window1: recordFrameIntervals = True
24.1132 	EXP 	window1: recordFrameIntervals = True
